tree_id,civic_number,std_street,genus_name,species_name,cultivar_name,common_name,assigned,root_barrier,plant_area,on_street_block,on_street,neighbourhood_name,street_side_name,height_range_id,diameter,curb,date_planted,longitude,latitude,tree_height
162057,600,W 10TH AV,CHAMAECYPARIS,SPECIES,NA,FALSECYPRESS SPECIES,Y,N,B,2500,ASH ST,FAIRVIEW,ODD,5,12,Y,NA,NA,NA,50-60
163167,2836,ASH ST,FRAXINUS,EXCELSIOR,NA,EUROPEAN ASH,N,N,6,2800,ASH ST,FAIRVIEW,EVEN,4,21,Y,NA,-123.117566,49.259586,40-50
223127,806,W 10TH AV,MAGNOLIA,KOBUS,NA,KOBUS MAGNOLIA,N,N,7,800,W 10TH AV,FAIRVIEW,EVEN,1,3,Y,2010-02-09,-123.121904,49.262314,10-20
223129,828,W 10TH AV,CERCIDIPHYLLUM,JAPONICUM,NA,KATSURA TREE,N,Y,8,800,W 10TH AV,FAIRVIEW,EVEN,2,3,Y,2010-02-09,-123.122845,49.262331,20-30
11690,1365,W 12TH AV,ACER,RUBRUM,NA,RED MAPLE,N,N,C,1300,W 12TH AV,FAIRVIEW,ODD,3,20.4,Y,NA,-123.135334,49.260792,30-40
11696,1385,W 12TH AV,ACER,RUBRUM,NA,RED MAPLE,N,N,C,1300,W 12TH AV,FAIRVIEW,ODD,3,16.6,Y,NA,-123.135656,49.260806,30-40
11717,1507,W 12TH AV,ACER,PLATANOIDES,NA,NORWAY MAPLE,N,N,C,1500,W 12TH AV,FAIRVIEW,ODD,2,13,Y,NA,-123.139194,49.260861,20-30
11718,1507,W 12TH AV,ACER,PLATANOIDES,NA,NORWAY MAPLE,N,N,C,1500,W 12TH AV,FAIRVIEW,ODD,2,14,Y,NA,-123.138961,49.260858,20-30
11728,1568,W 12TH AV,ACER,RUBRUM,NA,RED MAPLE,N,N,3,1500,W 12TH AV,FAIRVIEW,EVEN,3,17,Y,NA,-123.140217,49.260714,30-40
11739,1610,W 12TH AV,ACER,RUBRUM,NA,RED MAPLE,N,N,3,1600,W 12TH AV,FAIRVIEW,EVEN,4,18,Y,NA,-123.141529,49.260733,40-50
